id,is_active,parameter,yy,xx,code,image,price,color,name,name_uk,name_ru,name_en
1,1,1,Сидіння,Тип,,,350,,Мото,Мото,Мото,Мото
2,1,1,Сидіння,Тип,,,350,,Вело,Вело,Вело,Вело
3,1,2,Сидіння,Колір,,,350,#543122,"білий","білий","білий","білий"
4,1,2,Сидіння,Колір,,,350,#543122,"білий","білий","білий","білий"
5,1,2,Сидіння,Колір,,,350,#543122,"білий","білий","білий","білий"
6,1,2,Сидіння,Колір,,,350,#543122,"білий","білий","білий","білий"
7,1,2,Сидіння,Колір,,,350,#543122,"білий","білий","білий","білий"
8,1,3,Бічні панелі,Товщина,,,350,,120мм,120мм,120мм,120мм
9,1,3,Бічні панелі,Товщина,,,350,,140мм,140мм,140мм,140мм
10,1,3,Бічні панелі,Товщина,,,350,,170мм,170мм,170мм,170мм
11,1,4,Бічні панелі,Колір,,,350,#543122,"білий","білий","білий","білий"
12,1,4,Бічні панелі,Колір,,,350,#543122,білий,білий,білий,білий
13,1,4,Бічні панелі,Колір,,,350,#543122,білий,білий,білий,білий
14,1,4,Бічні панелі,Колір,,,350,#543122,білий,білий,білий,білий
15,1,5,Вилка,Тип,,"constructor/frame_1.jpg",350,,Сантур,Сантур,Сантур,Сантур
16,1,5,Вилка,Тип,,"constructor/frame_2.jpg",350,,Зум,Зум,Зум,Зум
17,1,5,Вилка,Тип,,"constructor/frame_3.jpg",350,,DNM,DNM,DNM,DNM
18,1,6,Амортизатори,Тип,,,350,,DNM RCP 2,DNM RCP 2,DNM RCP 2,DNM RCP 2
19,1,7,Колеса,Тип,,,350,,18'',18'',18'',18''
20,1,7,Колеса,Тип,,,350,,26'',26'',26'',26''
21,1,8,Колеса,Колір,,,350,#543122,"білий","білий","білий","білий"
22,1,8,Колеса,Колір,,,350,#543122,"білий","білий","білий","білий"
23,1,8,Колеса,Колір,,,350,#543122,"білий","білий","білий","білий"
24,1,8,Колеса,Колір,,,350,#543122,"білий","білий","білий","білий"
