id,value,value_uk,value_en,value_ru
1,Фара 20Вт 2000 Люмен,Фара 20Вт 2000 Люмен,Фара 20Вт 2000 Люмен,Фара 20Вт 2000 Люмен
2,Стоп/габарит,Стоп/габарит,Стоп/габарит,Стоп/габарит
3,Повороти,Повороти,Повороти,Повороты
4,Сигналізація,Сигналізація,Сигналізація,Сигналізація
5,GPS трекер,GPS трекер,GPS трекер,GPS трекер
6,USB 5V 1.5A і 2.0A,USB 5V 1.5A і 2.0A,USB 5V 1.5A і 2.0A,USB 5V 1.5A і 2.0A
7,Вихід на 12v,Вихід на 12v,Вихід на 12v,Выход на 12v
8,Бризговики,Бризговики,Бризговики,Брызговики
9,Дзеркала,Дзеркала,Дзеркала,Зеркала
10,Багажник,Багажник,Багажник,Багажник
11,40 км/год,40 км/год,40 км/год,40 км/час
12,50км,50км,50км,50км
13,3 години,3 години,3 години,3 часа
14,50-90 км/год (залежить від розміру задньої зірки),50-90 км/год (залежить від розміру задньої зірки),50-90 км/год (залежить від розміру задньої зірки),50-90 км/час (залежить від розміру задньої зірки)
15,100км,100км,100км,100км
16,4 години,4 години,4 години,4 часа
17,номінально 3000Вт/в пікових короткочасних навантаженнях 8000Вт,номінально 3000Вт/в пікових короткочасних навантаженнях 8000Вт,номінально 3000Вт/в пікових короткочасних навантаженнях 8000Вт,номинально 3000Вт/в пиковых кратковременных нагрузках8000Вт
18,35 км/год,35 км/год,35 км/год,35 км/час
19,60 км,60 км,60 км,60 км
20,3 години (від розетки 220В),3 години (від розетки 220В),3 години (від розетки 220В),3 часа (от розетки 220В)
21,150 кг,150 кг,150 кг,150 кг
22,два,два,два,два
23,1200Вт,1200Вт,1200Вт,1200Вт
25,80 км,80 км,80 км,80 км
26,Мото,Мото,Мото,Мото
27,Вело,Вело,Вело,Вело
28,Чорний RAL 9005,Чорний RAL 9005,Чорний RAL 9005,Чорний RAL 9005
29,Чорний матовий,Чорний матовий,Чорний матовий,Чорний матовий
30,Білий RAL 9010,Білий RAL 9010,Білий RAL 9010,Білий RAL 9010
31,Червоний RAL 3020,Червоний RAL 3020,Червоний RAL 3020,Червоний RAL 3020
32,Червоний RAL 3024,Червоний RAL 3024,Червоний RAL 3024,Червоний RAL 3024
33,Зелений світлий RAL 6038,Зелений світлий RAL 6038,Зелений світлий RAL 6038,Зеленый светлый RAL 6038
34,інший,інший,інший,другой
35,хакі,хакі,хакі,хаки
36,голубий,голубий,голубий,голубой
37,сірий металік,сірий металік,сірий металік,серый металик
38,темно сірий,темно сірий,темно сірий,темно серый
39,сірий  ,сірий  ,сірий  ,серый  
40,жовтий яскравий,жовтий яскравий,жовтий яскравий,желтый яркий
41,жовтий  ,жовтий  ,жовтий  ,желтый
42,оранжевий,оранжевий,оранжевий,оранжевый
43,синій ,синій ,синій ,синий
